Date,S&P 500,MSFT,WBA,TSLA
01-12-10,"1257,640","23,976","34,563","26,630"
03-01-11,"1286,120","23,822","35,876","24,100"
01-02-11,"1327,220","22,969","38,608","23,890"
01-03-11,"1325,830","21,940","35,757","27,750"
01-04-11,"1363,610","22,398","38,055","27,600"
02-05-11,"1345,200","21,754","39,020","30,140"
01-06-11,"1320,640","22,615","37,974","29,130"
01-07-11,"1292,280","23,833","34,915","28,170"
01-08-11,"1218,890","23,283","31,681","24,740"
01-09-11,"1131,420","21,786","29,594","24,390"
03-10-11,"1253,300","23,309","29,873","29,370"
01-11-11,"1246,960","22,559","30,548","32,740"
01-12-11,"1257,600","22,894","29,950","28,560"
03-01-12,"1312,410","26,042","30,221","29,070"
01-02-12,"1365,680","28,175","30,237","33,410"
01-03-12,"1408,470","28,637","30,538","37,240"
02-04-12,"1397,910","28,424","31,969","33,130"
01-05-12,"1310,330","26,082","28,022","29,500"
01-06-12,"1362,160","27,333","27,159","31,290"
02-07-12,"1379,320","26,332","33,384","27,420"
01-08-12,"1406,580","27,720","33,088","28,520"
04-09-12,"1440,670","26,767","33,717","29,280"
01-10-12,"1412,160","25,670","32,597","28,130"
01-11-12,"1416,180","24,140","31,632","33,820"
03-12-12,"1426,190","24,221","34,524","33,870"
02-01-13,"1498,110","24,892","37,276","37,510"
01-02-13,"1514,680","25,418","38,442","34,830"
01-03-13,"1569,190","26,159","44,771","37,890"
01-04-13,"1597,570","30,264","46,489","53,990"
01-05-13,"1630,740","32,134","45,098","97,760"
03-06-13,"1606,280","31,802","41,737","107,360"
01-07-13,"1685,730","29,316","47,450","134,280"
01-08-13,"1632,970","30,969","45,683","169,000"
03-09-13,"1681,550","30,858","51,128","193,370"
01-10-13,"1756,540","32,833","56,298","159,940"
01-11-13,"1805,810","35,623","56,554","127,280"
02-12-13,"1848,360","34,951","54,873","150,430"
02-01-14,"1782,590","35,352","54,787","181,410"
03-02-14,"1859,450","36,060","65,227","244,810"
03-03-14,"1872,340","38,583","63,384","208,450"
01-04-14,"1883,950","38,027","65,179","207,890"
01-05-14,"1923,570","38,807","69,351","207,770"
02-06-14,"1960,230","39,528","71,492","240,060"
01-07-14,"1930,670","40,912","66,322","223,300"
01-08-14,"2003,370","43,332","58,686","269,700"
02-09-14,"1972,290","44,219","57,473","242,680"
01-10-14,"2018,050","44,782","62,273","241,700"
03-11-14,"2067,560","45,890","66,866","244,520"
01-12-14,"2058,900","44,585","74,263","222,410"
02-01-15,"1994,990","38,778","71,875","203,600"
02-02-15,"2104,500","42,389","81,311","203,340"
02-03-15,"2067,890","39,305","82,877","188,770"
01-04-15,"2085,510","47,019","81,164","226,050"
01-05-15,"2107,390","45,593","84,343","250,800"
01-06-15,"2063,110","42,956","82,967","268,260"
01-07-15,"2103,840","45,437","94,944","266,150"
03-08-15,"1972,180","42,622","85,374","249,060"
01-09-15,"1920,030","43,347","81,971","248,400"
01-10-15,"2079,360","51,554","83,529","206,930"
02-11-15,"2080,410","53,588","83,255","230,260"
01-12-15,"2043,940","54,702","84,374","240,010"
